# rank frequency word
1 14727 the
2 6746 of
3 6514 and
4 4805 a
5 4709 to
6 4244 in
7 3100 that
8 2537 it
9 2532 his
10 2127 i
11 1900 he
12 1827 s
13 1822 but
14 1770 with
15 1753 as
16 1748 is
17 1647 was
18 1644 for
19 1544 all
20 1441 this
21 1333 at
22 1244 whale
23 1230 by
24 1180 not
25 1105 from
26 1073 on
27 1069 him
28 1066 so
29 1062 be
30 969 you
31 925 one
32 871 there
33 796 or
34 786 now
35 779 had
36 776 have
37 683 were
38 669 they
39 655 which
40 647 like
41 633 me
42 631 then
43 622 are
44 620 their
45 619 some
46 619 what
47 607 when
48 601 an
49 596 no
50 589 my
51 568 upon
52 539 out
53 530 man
54 526 up
55 523 into
56 519 ship
57 517 ahab
58 509 more
59 503 if
60 474 them
61 473 ye
62 469 we
63 455 sea
64 452 old
65 434 other
66 432 would
67 415 been
68 410 over
69 406 these
70 400 will
71 384 though
72 379 down
73 379 its
74 378 only
75 376 such
76 366 who
77 364 any
78 348 head
79 345 yet
80 337 boat
81 334 long
82 334 time
83 332 her
84 329 captain
85 324 do
86 324 here
87 323 very
88 318 about
89 312 still
90 312 than
91 308 chapter
92 307 great
93 307 those
94 305 said
95 303 before
96 298 two
97 294 has
98 293 must
99 291 t
100 288 most
101 283 seemed
102 281 white
103 277 last
104 275 see
105 273 way
106 272 whales
107 271 thou
108 270 after
109 263 again
110 261 stubb
111 259 how
112 258 did
113 258 your
114 255 may
115 253 queequeg
116 249 little
117 247 can
118 247 round
119 246 while
120 245 sperm
121 245 three
122 244 men
123 244 say
124 239 first
125 235 through
126 234 us
127 232 every
128 230 well
129 225 being
130 225 where
131 224 much
132 220 off
133 217 could
134 216 good
135 215 hand
136 215 same
137 211 our
138 208 side
139 206 ever
140 206 never
141 205 himself
142 205 look
143 205 own
144 199 deck
145 199 starbuck
146 197 almost
147 194 go
148 193 even
149 190 water
150 188 thing
151 186 away
152 185 too
153 184 should
154 183 might
155 180 come
156 179 day
157 178 made
158 178 pequod
159 178 world
160 176 life
161 175 sir
162 171 fish
163 168 many
164 167 among
165 165 far
166 165 seen
167 164 back
168 164 without
169 160 line
170 158 let
171 157 oh
172 157 right
173 156 cried
174 156 eyes
175 156 nor
176 155 aye
177 153 god
178 153 know
179 153 part
180 152 night
181 152 sort
182 150 thought
183 149 once
184 147 boats
185 143 air
186 141 crew
187 140 don
188 137 take
189 137 whole
190 136 full
191 136 half
192 135 against
193 135 tell
194 134 things
195 134 thus
196 133 whaling
197 131 thee
198 130 came
199 130 hands
200 130 mast
201 130 small
202 130 soon
203 129 each
204 127 feet
